"epi_year","week","date","new_graves_best_ipol"
2016,44,2016-11-06,37
2016,45,2016-11-13,91
2016,46,2016-11-20,89
2016,47,2016-11-27,89
2016,48,2016-12-04,89
2016,49,2016-12-11,89
2016,50,2016-12-18,90
2016,51,2016-12-25,89
2016,52,2017-01-01,89
2017,1,2017-01-08,75
2017,10,2017-03-12,69
2017,11,2017-03-19,67
2017,12,2017-03-26,68
2017,13,2017-04-02,67
2017,14,2017-04-09,68
2017,15,2017-04-16,68
2017,16,2017-04-23,68
2017,17,2017-04-30,68
2017,18,2017-05-07,67
2017,19,2017-05-14,68
2017,2,2017-01-15,61
2017,20,2017-05-21,68
2017,21,2017-05-28,68
2017,22,2017-06-04,68
2017,23,2017-06-11,66
2017,24,2017-06-18,70
2017,25,2017-06-25,67
2017,26,2017-07-02,68
2017,27,2017-07-09,67
2017,28,2017-07-16,67
2017,29,2017-07-23,70
2017,3,2017-01-22,64
2017,30,2017-07-30,67
2017,31,2017-08-06,67
2017,32,2017-08-13,68
2017,33,2017-08-20,68
2017,34,2017-08-27,69
2017,35,2017-09-03,66
2017,36,2017-09-10,68
2017,37,2017-09-17,68
2017,38,2017-09-24,68
2017,39,2017-10-01,68
2017,4,2017-01-29,62
2017,40,2017-10-08,67
2017,41,2017-10-15,68
2017,42,2017-10-22,68
2017,43,2017-10-29,67
2017,44,2017-11-05,69
2017,45,2017-11-12,67
2017,46,2017-11-19,68
2017,47,2017-11-26,67
2017,48,2017-12-03,68
2017,49,2017-12-10,69
2017,5,2017-02-05,63
2017,50,2017-12-17,67
2017,51,2017-12-24,67
2017,52,2017-12-31,69
2017,6,2017-02-12,62
2017,7,2017-02-19,62
2017,8,2017-02-26,63
2017,9,2017-03-05,67
2018,1,2018-01-07,70
2018,10,2018-03-11,70
2018,11,2018-03-18,69
2018,12,2018-03-25,70
2018,13,2018-04-01,70
2018,14,2018-04-08,70
2018,15,2018-04-15,69
2018,16,2018-04-22,70
2018,17,2018-04-29,70
2018,18,2018-05-06,69
2018,19,2018-05-13,72
2018,2,2018-01-14,69
2018,20,2018-05-20,70
2018,21,2018-05-27,70
2018,22,2018-06-03,70
2018,23,2018-06-10,71
2018,24,2018-06-17,71
2018,25,2018-06-24,70
2018,26,2018-07-01,69
2018,27,2018-07-08,71
2018,28,2018-07-15,72
2018,29,2018-07-22,69
2018,3,2018-01-21,69
2018,30,2018-07-29,71
2018,31,2018-08-05,69
2018,32,2018-08-12,72
2018,33,2018-08-19,70
2018,34,2018-08-26,70
2018,35,2018-09-02,63
2018,36,2018-09-09,61
2018,37,2018-09-16,63
2018,38,2018-09-23,62
2018,39,2018-09-30,63
2018,4,2018-01-28,70
2018,40,2018-10-07,61
2018,41,2018-10-14,63
2018,42,2018-10-21,61
2018,43,2018-10-28,63
2018,44,2018-11-04,63
2018,45,2018-11-11,61
2018,46,2018-11-18,63
2018,47,2018-11-25,62
2018,48,2018-12-02,52
2018,49,2018-12-09,49
2018,5,2018-02-04,71
2018,50,2018-12-16,50
2018,51,2018-12-23,63
2018,52,2018-12-30,68
2018,6,2018-02-11,69
2018,7,2018-02-18,69
2018,8,2018-02-25,70
2018,9,2018-03-04,70
2019,1,2019-01-06,68
2019,10,2019-03-10,76
2019,11,2019-03-17,71
2019,12,2019-03-24,74
2019,13,2019-03-31,73
2019,14,2019-04-07,74
2019,15,2019-04-14,72
2019,16,2019-04-21,74
2019,17,2019-04-28,74
2019,18,2019-05-05,73
2019,19,2019-05-12,74
2019,2,2019-01-13,67
2019,20,2019-05-19,72
2019,21,2019-05-26,74
2019,22,2019-06-02,74
2019,23,2019-06-09,73
2019,24,2019-06-16,73
2019,25,2019-06-23,73
2019,26,2019-06-30,65
2019,27,2019-07-07,58
2019,28,2019-07-14,59
2019,29,2019-07-21,59
2019,3,2019-01-20,67
2019,30,2019-07-28,56
2019,31,2019-08-04,60
2019,32,2019-08-11,58
2019,33,2019-08-18,57
2019,34,2019-08-25,58
2019,35,2019-09-01,59
2019,36,2019-09-08,58
2019,37,2019-09-15,59
2019,38,2019-09-22,56
2019,39,2019-09-29,59
2019,4,2019-01-27,72
2019,40,2019-10-06,59
2019,41,2019-10-13,58
2019,42,2019-10-20,57
2019,43,2019-10-27,60
2019,44,2019-11-03,57
2019,45,2019-11-10,58
2019,46,2019-11-17,58
2019,47,2019-11-24,61
2019,48,2019-12-01,60
2019,49,2019-12-08,59
2019,5,2019-02-03,74
2019,50,2019-12-15,59
2019,51,2019-12-22,61
2019,52,2019-12-29,59
2019,6,2019-02-10,74
2019,7,2019-02-17,71
2019,8,2019-02-24,75
2019,9,2019-03-03,72
2020,1,2020-01-05,60
2020,10,2020-03-08,113
2020,11,2020-03-15,119
2020,12,2020-03-22,125
2020,13,2020-03-29,128
2020,14,2020-04-05,130
2020,15,2020-04-12,137
2020,16,2020-04-19,138
2020,17,2020-04-26,138
2020,18,2020-05-03,122
2020,19,2020-05-10,118
2020,2,2020-01-12,61
2020,20,2020-05-17,126
2020,21,2020-05-24,132
2020,22,2020-05-31,138
2020,23,2020-06-07,150
2020,24,2020-06-14,146
2020,25,2020-06-21,123
2020,26,2020-06-28,117
2020,27,2020-07-05,136
2020,28,2020-07-12,137
2020,29,2020-07-19,85
2020,3,2020-01-19,59
2020,30,2020-07-26,88
2020,31,2020-08-02,NA
2020,32,2020-08-09,NA
2020,33,2020-08-16,NA
2020,34,2020-08-23,NA
2020,35,2020-08-30,NA
2020,36,2020-09-06,NA
2020,37,2020-09-13,NA
2020,38,2020-09-20,NA
2020,39,2020-09-27,NA
2020,4,2020-01-26,84
2020,40,2020-10-04,NA
2020,41,2020-10-11,NA
2020,42,2020-10-18,NA
2020,43,2020-10-25,NA
2020,44,2020-11-01,NA
2020,45,2020-11-07,NA
2020,5,2020-02-02,111
2020,6,2020-02-09,119
2020,7,2020-02-16,118
2020,8,2020-02-23,106
2020,9,2020-03-01,107
