week,datasource,date,name,value
2019/w43,satellite,2019-11-02,daily_baseline_subtr,0
2019/w44,satellite,2019-11-04,daily_baseline_subtr,2.806451612903224
2019/w45,satellite,2019-11-11,daily_baseline_subtr,3.104838709677418
2019/w46,satellite,2019-11-18,daily_baseline_subtr,3.806451612903224
2019/w47,satellite,2019-11-25,daily_baseline_subtr,4.806451612903224
2019/w48,satellite,2019-12-02,daily_baseline_subtr,4.104838709677418
2019/w49,satellite,2019-12-09,daily_baseline_subtr,3.806451612903224
2019/w50,satellite,2019-12-16,daily_baseline_subtr,3.806451612903224
2019/w51,satellite,2019-12-23,daily_baseline_subtr,2.403225806451612
2019/w52,satellite,2019-12-30,daily_baseline_subtr,2.403225806451612
2020/w00,satellite,2020-01-01,daily_baseline_subtr,1.701612903225806
2020/w01,satellite,2020-01-06,daily_baseline_subtr,4.806451612903224
2020/w02,satellite,2020-01-13,daily_baseline_subtr,2.806451612903224
2020/w03,reported,2020-01-22,value_report_daily,0
2020/w03,satellite,2020-01-20,daily_baseline_subtr,7.806451612903224
2020/w04,reported,2020-01-27,value_report_daily,0
2020/w04,satellite,2020-01-27,daily_baseline_subtr,20.91129032258064
2020/w05,reported,2020-02-03,value_report_daily,0
2020/w05,satellite,2020-02-03,daily_baseline_subtr,27.91129032258064
2020/w06,reported,2020-02-10,value_report_daily,0
2020/w06,satellite,2020-02-10,daily_baseline_subtr,26.91129032258064
2020/w07,reported,2020-02-17,value_report_daily,0
2020/w07,satellite,2020-02-17,daily_baseline_subtr,13.911290322580642
2020/w08,reported,2020-02-24,value_report_daily,0
2020/w08,satellite,2020-02-24,daily_baseline_subtr,15.911290322580642
2020/w09,reported,2020-03-02,value_report_daily,0
2020/w09,satellite,2020-03-02,daily_baseline_subtr,22.209677419354836
2020/w10,reported,2020-03-09,value_report_daily,0
2020/w10,satellite,2020-03-09,daily_baseline_subtr,27.91129032258064
2020/w11,reported,2020-03-16,value_report_daily,0
2020/w11,satellite,2020-03-16,daily_baseline_subtr,44.91129032258064
2020/w12,reported,2020-03-23,value_report_daily,0
2020/w12,satellite,2020-03-23,daily_baseline_subtr,51.91129032258064
2020/w13,reported,2020-03-30,value_report_daily,0
2020/w13,satellite,2020-03-30,daily_baseline_subtr,53.91129032258064
2020/w14,reported,2020-04-06,value_report_daily,1
2020/w14,satellite,2020-04-06,daily_baseline_subtr,60.91129032258064
2020/w15,reported,2020-04-13,value_report_daily,6
2020/w15,satellite,2020-04-13,daily_baseline_subtr,62.91129032258064
2020/w16,reported,2020-04-20,value_report_daily,16
2020/w16,satellite,2020-04-20,daily_baseline_subtr,61.91129032258064
2020/w17,reported,2020-04-27,value_report_daily,9
2020/w17,satellite,2020-04-27,daily_baseline_subtr,56.91129032258064
2020/w18,reported,2020-05-04,value_report_daily,19
2020/w18,satellite,2020-05-04,daily_baseline_subtr,52.91129032258064
2020/w19,reported,2020-05-11,value_report_daily,5
2020/w19,satellite,2020-05-11,daily_baseline_subtr,60.91129032258064
2020/w20,reported,2020-05-18,value_report_daily,5
2020/w20,satellite,2020-05-18,daily_baseline_subtr,66.91129032258064
2020/w21,reported,2020-05-25,value_report_daily,17
2020/w21,satellite,2020-05-25,daily_baseline_subtr,72.91129032258064
2020/w22,reported,2020-06-01,value_report_daily,5
2020/w22,satellite,2020-06-01,daily_baseline_subtr,84.91129032258064
2020/w23,reported,2020-06-08,value_report_daily,5
2020/w23,satellite,2020-06-08,daily_baseline_subtr,80.91129032258064
2020/w24,reported,2020-06-15,value_report_daily,2
2020/w24,satellite,2020-06-15,daily_baseline_subtr,57.91129032258064
2020/w25,reported,2020-06-22,value_report_daily,0
2020/w25,satellite,2020-06-22,daily_baseline_subtr,51.91129032258064
2020/w26,reported,2020-06-29,value_report_daily,2
2020/w26,satellite,2020-06-29,daily_baseline_subtr,70.91129032258064
2020/w27,reported,2020-07-06,value_report_daily,1
2020/w27,satellite,2020-07-06,daily_baseline_subtr,71.91129032258064
2020/w28,reported,2020-07-13,value_report_daily,0
2020/w28,satellite,2020-07-13,daily_baseline_subtr,19.91129032258064
2020/w29,reported,2020-07-20,value_report_daily,0
2020/w29,satellite,2020-07-20,daily_baseline_subtr,22.91129032258064
2020/w30,reported,2020-07-27,value_report_daily,0
2020/w30,satellite,2020-07-27,daily_baseline_subtr,14.209677419354836
2020/w31,reported,2020-08-03,value_report_daily,0
2020/w31,satellite,2020-08-03,daily_baseline_subtr,3.403225806451612
2020/w32,reported,2020-08-10,value_report_daily,0
2020/w32,satellite,2020-08-10,daily_baseline_subtr,5.50806451612903
2020/w33,reported,2020-08-17,value_report_daily,0
2020/w33,satellite,2020-08-17,daily_baseline_subtr,3.806451612903224
2020/w34,reported,2020-08-24,value_report_daily,5
2020/w34,satellite,2020-08-24,daily_baseline_subtr,44.20967741935483
2020/w35,reported,2020-08-31,value_report_daily,-1
2020/w35,satellite,2020-08-31,daily_baseline_subtr,50.91129032258064
2020/w36,reported,2020-09-07,value_report_daily,1
2020/w36,satellite,2020-09-07,daily_baseline_subtr,50.91129032258064
2020/w37,reported,2020-09-14,value_report_daily,0
2020/w37,satellite,2020-09-14,daily_baseline_subtr,36.91129032258064
2020/w38,reported,2020-09-21,value_report_daily,1
2020/w38,satellite,2020-09-21,daily_baseline_subtr,19.508064516129032
2020/w39,reported,2020-09-28,value_report_daily,0
2020/w39,satellite,2020-09-28,daily_baseline_subtr,0
2020/w40,reported,2020-10-05,value_report_daily,0
2020/w41,reported,2020-10-12,value_report_daily,0
2020/w42,reported,2020-10-19,value_report_daily,5
2020/w43,reported,2020-10-26,value_report_daily,0
2020/w44,reported,2020-11-02,value_report_daily,3
2020/w45,reported,2020-11-09,value_report_daily,0
2020/w46,reported,2020-11-16,value_report_daily,6
2020/w47,reported,2020-11-23,value_report_daily,0
2020/w48,reported,2020-11-30,value_report_daily,8
2020/w49,reported,2020-12-07,value_report_daily,0
2020/w50,reported,2020-12-14,value_report_daily,3
2020/w51,reported,2020-12-21,value_report_daily,3
2020/w52,reported,2020-12-28,value_report_daily,3
2021/w00,reported,2021-01-01,value_report_daily,0
2021/w01,reported,2021-01-04,value_report_daily,0
2021/w02,reported,2021-01-11,value_report_daily,0
2021/w03,reported,2021-01-18,value_report_daily,0
2021/w04,reported,2021-01-25,value_report_daily,0
2021/w05,reported,2021-02-01,value_report_daily,0
